## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.3      1000           0.38               100      4.665e+05        3.195e+07        1.906e+07           5.738e+07            2.229e+03        9.113e+07       6.579e+03           1.544e+04           1.803e+04           9.372e+04        7.896e+06         4.962e+06         1.177e+06          3.443e+06           8.448e+06           5.800e+05             9.344e+05            5.562e+06 
   -1.0           0.3      1000           0.38               300      6.547e+05        4.749e+07        2.843e+07           8.558e+07            3.217e+03        1.361e+08       9.493e+03           2.464e+04           2.875e+04           1.568e+05        1.333e+07         8.132e+06         2.609e+06          5.261e+06           1.291e+07           7.668e+05             1.235e+06            7.322e+06 
   -1.0           0.3       100           0.27               100      7.233e+05        3.167e+07        1.985e+07           5.975e+07            2.917e+03        9.072e+07       8.607e+03           2.479e+04           1.913e+04           9.344e+04        6.387e+06         4.471e+06         1.175e+06          3.741e+06           9.177e+06           4.731e+05             7.542e+05            4.400e+06 
   -1.0           0.3       100           0.27               300      9.348e+05        4.715e+07        2.965e+07           8.924e+07            3.866e+03        1.356e+08       1.141e+04           3.929e+04           3.031e+04           1.562e+05        1.069e+07         7.331e+06         2.609e+06          5.715e+06           1.403e+07           6.156e+05             9.810e+05            5.804e+06 
   -1.0           0.3      1000           0.27               100      4.773e+05        3.196e+07        1.959e+07           5.896e+07            2.245e+03        9.119e+07       6.625e+03           1.581e+04           1.846e+04           9.397e+04        6.220e+06         4.348e+06         1.178e+06          3.581e+06           8.785e+06           5.923e+05             9.543e+05            4.084e+06 
   -1.0           0.3      1000           0.27               300      6.700e+05        4.753e+07        2.922e+07           8.794e+07            3.240e+03        1.362e+08       9.560e+03           2.523e+04           2.944e+04           1.571e+05        1.039e+07         7.113e+06         2.612e+06          5.470e+06           1.343e+07           7.830e+05             1.261e+06            5.377e+06 
   -1.0           0.3       100           0.20               100      7.339e+05        3.169e+07        2.021e+07           6.083e+07            2.929e+03        9.077e+07       8.645e+03           2.517e+04           1.943e+04           9.360e+04        5.478e+06         3.879e+06         1.177e+06          3.840e+06           9.419e+06           4.796e+05             7.645e+05            3.332e+06 
   -1.0           0.3       100           0.20               300      9.487e+05        4.717e+07        3.018e+07           9.085e+07            3.884e+03        1.357e+08       1.146e+04           3.991e+04           3.079e+04           1.564e+05        8.984e+06         6.343e+06         2.611e+06          5.864e+06           1.439e+07           6.239e+05             9.942e+05            4.395e+06 
   -1.0           0.3      1000           0.20               100      4.845e+05        3.197e+07        1.994e+07           6.001e+07            2.255e+03        9.124e+07       6.656e+03           1.606e+04           1.875e+04           9.413e+04        5.318e+06         3.777e+06         1.180e+06          3.675e+06           9.015e+06           6.006e+05             9.675e+05            3.092e+06 
   -1.0           0.3      1000           0.20               300      6.801e+05        4.755e+07        2.974e+07           8.952e+07            3.255e+03        1.363e+08       9.606e+03           2.562e+04           2.989e+04           1.573e+05        8.704e+06         6.161e+06         2.614e+06          5.613e+06           1.377e+07           7.937e+05             1.278e+06            4.071e+06 
   -1.0           0.3       100           0.14               100      7.433e+05        3.170e+07        2.053e+07           6.179e+07            2.941e+03        9.081e+07       8.678e+03           2.552e+04           1.969e+04           9.375e+04        4.729e+06         3.184e+06         1.178e+06          3.929e+06           9.637e+06           4.853e+05             7.736e+05            2.378e+06 
   -1.0           0.3       100           0.14               300      9.609e+05        4.720e+07        3.066e+07           9.228e+07            3.899e+03        1.358e+08       1.151e+04           4.045e+04           3.121e+04           1.566e+05        7.743e+06         5.180e+06         2.614e+06          5.999e+06           1.472e+07           6.312e+05             1.006e+06            3.137e+06 
   -1.0           0.3      1000           0.14               100      4.908e+05        3.198e+07        2.025e+07           6.096e+07            2.265e+03        9.128e+07       6.683e+03           1.628e+04           1.900e+04           9.427e+04        4.595e+06         3.105e+06         1.181e+06          3.760e+06           9.223e+06           6.079e+05             9.793e+05            2.206e+06 
   -1.0           0.3      1000           0.14               300      6.891e+05        4.757e+07        3.021e+07           9.092e+07            3.268e+03        1.364e+08       9.645e+03           2.597e+04           3.030e+04           1.575e+05        7.508e+06         5.038e+06         2.616e+06          5.742e+06           1.409e+07           8.030e+05             1.293e+06            2.905e+06 
   -1.0           0.3       100           0.10               100      7.497e+05        3.171e+07        2.075e+07           6.245e+07            2.948e+03        9.084e+07       8.701e+03           2.575e+04           1.987e+04           9.384e+04        4.003e+06         2.578e+06         1.179e+06          3.991e+06           9.789e+06           4.891e+05             7.797e+05            1.721e+06 
   -1.0           0.3       100           0.10               300      9.693e+05        4.722e+07        3.098e+07           9.326e+07            3.910e+03        1.359e+08       1.154e+04           4.083e+04           3.149e+04           1.567e+05        6.533e+06         4.168e+06         2.615e+06          6.093e+06           1.495e+07           6.361e+05             1.014e+06            2.271e+06 
   -1.0           0.3      1000           0.10               100      4.951e+05        3.199e+07        2.047e+07           6.160e+07            2.271e+03        9.130e+07       6.701e+03           1.643e+04           1.918e+04           9.436e+04        3.896e+06         2.518e+06         1.181e+06          3.819e+06           9.367e+06           6.128e+05             9.871e+05            1.597e+06 
   -1.0           0.3      1000           0.10               300      6.952e+05        4.759e+07        3.053e+07           9.188e+07            3.277e+03        1.364e+08       9.672e+03           2.621e+04           3.058e+04           1.576e+05        6.342e+06         4.059e+06         2.618e+06          5.831e+06           1.431e+07           8.094e+05             1.303e+06            2.102e+06 
   -1.0           0.5       100           1.40               100      3.893e+05        2.701e+07        1.064e+07           3.203e+07            2.368e+03        7.747e+07       6.987e+03           1.815e+04           1.401e+04           9.063e+04        1.068e+07         6.153e+06         1.095e+06          1.980e+06           4.869e+06           8.707e+04             1.388e+05            1.083e+07 
   -1.0           0.5       100           1.40               300      5.212e+05        4.069e+07        1.604e+07           4.827e+07            3.250e+03        1.172e+08       9.591e+03           2.907e+04           2.242e+04           1.527e+05        1.823e+07         1.027e+07         2.434e+06          3.040e+06           7.477e+06           1.153e+05             1.838e+05            1.444e+07 
   -1.0           0.5      1000           1.40               100      2.613e+05        2.732e+07        1.053e+07           3.169e+07            1.859e+03        7.805e+07       5.486e+03           1.162e+04           1.356e+04           9.117e+04        1.048e+07         5.987e+06         1.098e+06          1.899e+06           4.670e+06           1.100e+05             1.772e+05            1.009e+07 
   -1.0           0.5      1000           1.40               300      3.777e+05        4.112e+07        1.585e+07           4.771e+07            2.759e+03        1.180e+08       8.142e+03           1.872e+04           2.184e+04           1.535e+05        1.783e+07         9.986e+06         2.438e+06          2.915e+06           7.172e+06           1.473e+05             2.373e+05            1.344e+07 
   -1.0           0.5       100           1.00               100      4.138e+05        2.702e+07        1.140e+07           3.432e+07            2.412e+03        7.754e+07       7.117e+03           1.947e+04           1.503e+04           9.146e+04        8.581e+06         5.600e+06         1.097e+06          2.166e+06           5.327e+06           9.376e+04             1.495e+05            8.396e+06 
   -1.0           0.5       100           1.00               300      5.543e+05        4.073e+07        1.719e+07           5.173e+07            3.312e+03        1.174e+08       9.774e+03           3.118e+04           2.405e+04           1.537e+05        1.458e+07         9.217e+06         2.439e+06          3.324e+06           8.176e+06           1.241e+05             1.978e+05            1.120e+07 
   -1.0           0.5      1000           1.00               100      2.780e+05        2.733e+07        1.128e+07           3.396e+07            1.896e+03        7.811e+07       5.594e+03           1.246e+04           1.455e+04           9.200e+04        8.399e+06         5.433e+06         1.100e+06          2.078e+06           5.108e+06           1.185e+05             1.909e+05            7.824e+06 
   -1.0           0.5      1000           1.00               300      4.019e+05        4.115e+07        1.698e+07           5.111e+07            2.813e+03        1.181e+08       8.300e+03           2.008e+04           2.342e+04           1.546e+05        1.423e+07         8.926e+06         2.442e+06          3.188e+06           7.841e+06           1.587e+05             2.555e+05            1.041e+07 
   -1.0           0.5       100           0.72               100      4.207e+05        2.637e+07        1.171e+07           3.524e+07            2.379e+03        7.571e+07       7.021e+03           2.016e+04           1.555e+04           9.201e+04        6.746e+06         5.073e+06         1.088e+06          2.265e+06           5.568e+06           9.677e+04             1.543e+05            6.269e+06 
   -1.0           0.5       100           0.72               300      5.672e+05        3.984e+07        1.767e+07           5.320e+07            3.288e+03        1.149e+08       9.703e+03           3.233e+04           2.494e+04           1.543e+05        1.132e+07         8.355e+06         2.418e+06          3.478e+06           8.552e+06           1.284e+05             2.046e+05            8.376e+06 
   -1.0           0.5      1000           0.72               100      2.837e+05        2.668e+07        1.159e+07           3.488e+07            1.877e+03        7.628e+07       5.539e+03           1.291e+04           1.507e+04           9.254e+04        6.571e+06         4.926e+06         1.091e+06          2.172e+06           5.340e+06           1.224e+05             1.971e+05            5.842e+06 
   -1.0           0.5      1000           0.72               300      4.122e+05        4.026e+07        1.747e+07           5.258e+07            2.799e+03        1.156e+08       8.260e+03           2.082e+04           2.429e+04           1.552e+05        1.102e+07         8.097e+06         2.421e+06          3.336e+06           8.203e+06           1.642e+05             2.643e+05            7.790e+06 
   -1.0           0.5       100           0.52               100      4.352e+05        2.638e+07        1.217e+07           3.664e+07            2.404e+03        7.576e+07       7.095e+03           2.096e+04           1.618e+04           9.246e+04        6.004e+06         4.557e+06         1.090e+06          2.386e+06           5.866e+06           1.009e+05             1.609e+05            4.748e+06 
