## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.5      1000           1.40               100      7.251e+05        3.650e+06        8.141e+06           2.450e+07            7.976e+03        1.032e+07       2.354e+04           2.188e+04           2.577e+04           2.615e+05        1.462e+06         9.178e+05         2.167e+05          7.014e+05           1.682e+06           8.433e+04             1.371e+05            6.110e+06 
   -1.0           0.5      1000           1.40               300      1.125e+06        6.446e+06        1.490e+07           4.485e+07            1.310e+04        1.831e+07       3.867e+04           4.141e+04           4.867e+04           5.087e+05        3.315e+06         1.855e+06         8.234e+05          1.361e+06           3.273e+06           1.271e+05             2.060e+05            8.903e+06 
   -1.0           0.5       100           1.00               100      9.296e+05        3.534e+06        8.515e+06           2.563e+07            9.303e+03        1.004e+07       2.745e+04           3.568e+04           2.754e+04           2.651e+05        1.189e+06         8.386e+05         2.151e+05          7.692e+05           1.842e+06           7.078e+04             1.139e+05            4.714e+06 
   -1.0           0.5       100           1.00               300      1.422e+06        6.244e+06        1.566e+07           4.715e+07            1.476e+04        1.783e+07       4.356e+04           6.747e+04           5.206e+04           5.113e+05        2.594e+06         1.646e+06         8.179e+05          1.507e+06           3.621e+06           1.119e+05             1.794e+05            6.943e+06 
   -1.0           0.5      1000           1.00               100      7.528e+05        3.589e+06        8.584e+06           2.584e+07            8.138e+03        1.015e+07       2.401e+04           2.313e+04           2.724e+04           2.644e+05        1.191e+06         8.346e+05         2.155e+05          7.607e+05           1.822e+06           8.892e+04             1.446e+05            4.630e+06 
   -1.0           0.5      1000           1.00               300      1.170e+06        6.341e+06        1.575e+07           4.742e+07            1.340e+04        1.802e+07       3.954e+04           4.382e+04           5.150e+04           5.121e+05        2.591e+06         1.634e+06         8.186e+05          1.486e+06           3.571e+06           1.344e+05             2.178e+05            6.781e+06 
   -1.0           0.5       100           0.72               100      9.499e+05        3.476e+06        8.833e+06           2.659e+07            9.398e+03        9.883e+06       2.773e+04           3.707e+04           2.862e+04           2.673e+05        1.005e+06         7.877e+05         2.139e+05          8.180e+05           1.957e+06           7.326e+04             1.179e+05            3.543e+06 
   -1.0           0.5       100           0.72               300      1.456e+06        6.144e+06        1.629e+07           4.902e+07            1.494e+04        1.755e+07       4.410e+04           7.018e+04           5.414e+04           5.138e+05        2.080e+06         1.537e+06         8.130e+05          1.613e+06           3.872e+06           1.162e+05             1.862e+05            5.242e+06 
   -1.0           0.5      1000           0.72               100      7.711e+05        3.529e+06        8.906e+06           2.681e+07            8.232e+03        9.986e+06       2.429e+04           2.405e+04           2.831e+04           2.665e+05        1.004e+06         7.837e+05         2.143e+05          8.091e+05           1.936e+06           9.231e+04             1.501e+05            3.480e+06 
   -1.0           0.5      1000           0.72               300      1.200e+06        6.239e+06        1.638e+07           4.931e+07            1.358e+04        1.774e+07       4.008e+04           4.559e+04           5.358e+04           5.146e+05        2.074e+06         1.524e+06         8.137e+05          1.591e+06           3.818e+06           1.399e+05             2.267e+05            5.120e+06 
   -1.0           0.5       100           0.52               100      9.620e+05        3.420e+06        9.053e+06           2.725e+07            9.439e+03        9.726e+06       2.785e+04           3.806e+04           2.938e+04           2.689e+05        8.927e+05         7.451e+05         2.127e+05          8.566e+05           2.048e+06           7.498e+04             1.207e+05            2.639e+06 
   -1.0           0.5       100           0.52               300      1.477e+06        6.048e+06        1.673e+07           5.034e+07            1.504e+04        1.728e+07       4.438e+04           7.210e+04           5.562e+04           5.155e+05        1.767e+06         1.450e+06         8.082e+05          1.699e+06           4.074e+06           1.193e+05             1.912e+05            3.919e+06 
   -1.0           0.5      1000           0.52               100      7.822e+05        3.472e+06        9.129e+06           2.748e+07            8.275e+03        9.826e+06       2.442e+04           2.469e+04           2.907e+04           2.681e+05        8.889e+05         7.414e+05         2.130e+05          8.475e+05           2.026e+06           9.472e+04             1.539e+05            2.592e+06 
